,sentence,answer
0,GCEP an agency operating under the Ministry of Municipal and Rural Affairs and the Environment is the country s point of reference for environmental pacts,0
1,There is nothing to be gained by frightening people when all the facts are not known,1
2,Furthermore a review of the effectiveness of the measures will not take place before 2012,0
3,This campaign is not over,0
4,Asked if the disagreement was also with Australia Mr Blair said Yes,1
5,Each year Lebanon sends an explanation to the State Department about the factors outside of the government s control,0
6,State Department officials this week accused Mugabe s government of numerous human rights violations during the election campaign an allegation vehemently denied by ZANU PF officials,1
7,It is not at all a secure environment he told the programme,0
8,WASHINGTON Jan 10 A C 17 Globemaster cargo plane carrying 20 heavily guarded Taliban and Al Qaeda prisoners left a Marine Corps base in southern Afghanistan today on its way to the United States naval base at Guantanamo Bay Cuba the first wave of hundreds of detainees who will be held there,0
9,Copyright 2001 Miami Herald,0
10,A better life says Martha explaining why she voted for MDC candidate Morgan Tsvangirai,0
11,The United States has to get moving on screening these people and determining whether or not they re P O W s,1
12,By clarifying the Imam s edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world,1
13,They fear that because the US is forging its own way smaller nations that are expected to ratify the Kyoto Protocol could start backing out,1
14,I don t think they think that way anymore,1
15,Pentagon officials also said today that the United States was preparing to send a force of more than 100 soldiers many of them Special Operations forces to the Philippines to help train Filipino troops to fight Muslim militants from the Abu Sayyaf group,0
16,Despite the opposition Bush went it alone,1
17,For South Africa the main concern is regional stability not the niceties of participatory democracy,1
18,North Korea has also been made the target due to the reason that according to the United States it is being blamed for transferring nuclear technology and weapons to Islamic countries,1
19,Space station s railcar slightly off track,0
20,A newspaper reported that Mugabe had put the armed forces on high alert and had recalled soldiers from neighboring Congo where they have been deployed in that country s civil war,0
21,Eight more truss segments will be added on future missions,0
22,Managers were striking because Mr Chavez had filled the company s board of directors with his supporters,1
23,Controversial appointments Meanwhile another concern raised was Suhakam s independence following the appointment of former attorney general Abu Talib Othman as its new chairperson and the decision not to renew the appointments of three commissioners Anuar Zainal Abidin Prof Mehrun Siraj and Dr Salleh Mohd Nor,0
24,On March 4 the US State Depart ment released its annual human rights report,0
25,All this has sounded the alarm for the US Executive and suits the opposition s objectives to bring about an intervention or a blockade which would hurt the people it claims to defend Oddly he defended the content of the video by affirming as the President did that this is evidence of a humanitarian action,1
26,During the same period anti Soviet hysteria was also promoted strongly,1
27,Q Lorne I want to follow up on Saudi Arab,0
28,Brazil and Germany call for implementation of Kyoto Protocol by September,1
